agno, mes, dia, valor
2016,1,1,20.9
2016,1,2,20.2
2016,1,3,19.7
2016,1,4,21.9
2016,1,5,22.9
2016,1,6,22.5
2016,1,7,20.8
2016,1,8,19.8
2016,1,9,21.5
2016,1,10,20.8
2016,1,11,18.4
2016,1,12,18.8
2016,1,13,21
2016,1,14,19.7
2016,1,15,21.9
2016,1,16,23.7
2016,1,17,25
2016,1,18,23.3
2016,1,19,22.2
2016,1,20,23.6
2016,1,21,21
2016,1,22,22.2
2016,1,23,20.2
2016,1,24,18.7
2016,1,25,18.6
2016,1,26,19.2
2016,1,27,20.6
2016,1,28,22.4
2016,1,29,20.1
2016,1,30,22.8
2016,1,31,22.4
2016,2,1,21.2
2016,2,2,19.5
2016,2,3,21.1
2016,2,4,20.8
2016,2,5,20.9
2016,2,6,20.8
2016,2,7,19.6
2016,2,8,20.8
2016,2,9,22.3
2016,2,10,20.6
2016,2,11,20.2
2016,2,12,19.5
2016,2,13,21.1
2016,2,14,22.7
2016,2,15,22.5
2016,2,16,18
2016,2,17,19.7
2016,2,18,20.5
2016,2,19,22.8
2016,2,20,22.8
2016,2,21,21.8
2016,2,22,22.6
2016,2,23,22.9
2016,2,24,23.2
2016,2,25,21.8
2016,2,26,19.6
2016,2,27,21
2016,2,28,21.5
2016,2,29,21.2
2016,3,1,21.6
2016,3,2,21.5
2016,3,3,19.7
2016,3,4,20.9
2016,3,5,19.3
2016,3,6,17.8
2016,3,7,16.4
2016,3,8,18.8
2016,3,9,21.3
2016,3,10,20.1
2016,3,11,19.6
2016,3,12,17.9
2016,3,13,19.8
2016,3,14,21.2
2016,3,15,21
2016,3,16,19.5
2016,3,17,17.1
2016,3,18,18.5
2016,3,19,17.9
2016,3,20,17.8
2016,3,21,18
2016,3,22,19.7
2016,3,23,16.9
2016,3,24,17.2
2016,3,25,19.4
2016,3,26,16.6
2016,3,27,17.3
2016,3,28,16.4
2016,3,29,14.8
2016,3,30,15.9
2016,3,31,18.3
2016,4,1,17.3
2016,4,2,17.2
2016,4,3,14.2
2016,4,4,16.8
2016,4,5,15.2
2016,4,6,15.6
2016,4,7,14.9
2016,4,8,14.4
2016,4,9,13
2016,4,10,13.8
2016,4,11,15.2
2016,4,12,14.4
2016,4,13,12.9
2016,4,14,15.1
2016,4,15,15.2
2016,4,16,16.9
2016,4,17,12.7
2016,4,18,13.5
2016,4,19,13.2
2016,4,20,13.6
2016,4,21,14.8
2016,4,22,13.7
2016,4,23,13.5
2016,4,24,9.9
2016,4,25,8.3
2016,4,26,10.1
2016,4,27,13.3
2016,4,28,14
2016,4,29,15.3
2016,4,30,14.9
2016,5,1,14.5
2016,5,2,16.9
2016,5,3,16.9
2016,5,4,15.6
2016,5,5,14
2016,5,6,12.3
2016,5,7,13.2
2016,5,8,13.9
2016,5,9,13.6
