agno, mes, dia, valor
2014,10,24,22.4
2014,10,25,22.1
2014,10,26,15.6
2014,10,27,18.2
2014,10,28,16.8
2014,10,29,16.4
2014,10,30,16.4
2014,10,31,16.2
2014,11,1,14.8
2014,11,2,13.7
2014,11,3,14.8
2014,11,4,16.5
2014,11,5,14.4
2014,11,6,16.4
2014,11,7,19.3
2014,11,8,20.3
2014,11,9,19.8
2014,11,10,16.9
2014,11,11,18.7
2014,11,12,19.6
2014,11,13,21.1
2014,11,14,20.3
2014,11,15,19.6
2014,11,16,21.1
2014,11,17,19.6
2014,11,18,15.1
2014,11,19,17.9
2014,11,20,16.6
2014,11,21,18
2014,11,22,19.1
2014,11,23,15.8
2014,11,24,16.5
2014,11,25,18
2014,11,26,19.8
2014,11,27,19.7
2014,11,28,17.3
2014,11,29,13.3
2014,11,30,14.6
2014,12,1,19
2014,12,2,21
2014,12,3,23.8
2014,12,4,20.9
2014,12,5,16.4
2014,12,6,17.4
2014,12,7,21
2014,12,8,21.6
2014,12,9,19.4
2014,12,10,18.4
2014,12,11,19.9
2014,12,12,20.3
2014,12,13,19.6
2014,12,14,16.3
2014,12,15,16
2014,12,16,17.9
2014,12,17,20.2
2014,12,18,20.6
2014,12,19,17.5
2014,12,20,12.6
2014,12,21,16
2014,12,22,17.9
2014,12,23,21.8
2014,12,24,21.1
2014,12,25,21.5
2014,12,26,21.7
2014,12,27,21
2014,12,28,21.8
2014,12,29,20.6
2014,12,30,20.1
2014,12,31,20.6
2015,1,1,21.5
2015,1,2,22.3
2015,1,3,22.5
2015,1,4,23.2
2015,1,5,21.7
2015,1,6,20.7
2015,1,7,19.5
2015,1,8,22.7
2015,1,9,24.6
2015,1,10,22.5
2015,1,11,23.7
2015,1,12,21.6
2015,1,13,21.2
2015,1,14,22.6
2015,1,15,21.8
2015,1,16,22.1
2015,1,17,21.1
2015,1,18,18.2
2015,1,19,19.6
2015,1,20,20.4
2015,1,21,19.2
2015,1,22,20.9
2015,1,23,22
2015,1,24,22.3
2015,1,25,22.6
2015,1,26,23.1
2015,1,27,23
2015,1,28,22.3
2015,1,29,22.1
2015,1,30,21.6
2015,1,31,22.7
2015,2,1,22.7
2015,2,2,22.9
2015,2,3,22.6
2015,2,4,22.1
2015,2,5,21.2
2015,2,6,21.8
2015,2,7,21.3
2015,2,8,20.5
2015,2,9,19.9
2015,2,10,22
2015,2,11,23.9
2015,2,12,24.8
2015,2,13,25
2015,2,14,20.9
2015,2,15,20.8
2015,2,16,20.8
2015,2,17,21.1
2015,2,18,19.6
2015,2,19,16.9
2015,2,20,19.3
2015,2,21,19.3
2015,2,22,20.1
2015,2,23,20.6
2015,2,24,15.5
2015,2,25,20
2015,2,26,17.4
2015,2,27,19.6
2015,2,28,18.5
2015,3,1,19.7
2015,3,2,19.2
2015,3,3,19.2
2015,3,4,19.7
2015,3,5,20
2015,3,6,19
2015,3,7,18.6
2015,3,8,21.1
2015,3,9,22.1
2015,3,10,22.7
2015,3,11,22.3
2015,3,12,21.7
2015,3,13,20.8
2015,3,14,19.7
2015,3,15,20.2
2015,3,16,20.3
2015,3,17,21.1
2015,3,18,21.1
2015,3,19,21.5
2015,3,20,23.8
2015,3,21,20.8
2015,3,22,18.6
2015,3,23,18.2
2015,3,24,18.5
2015,3,25,19.1
2015,3,26,19.4
2015,3,27,18.7
2015,3,28,19.8
2015,3,29,18.9
2015,3,30,18.7
2015,3,31,18.6
2015,4,1,19.1
2015,4,2,18.1
2015,4,3,16.4
2015,4,4,17.7
2015,4,5,19
2015,4,6,17
2015,4,7,17.5
2015,4,8,17.1
2015,4,9,18
2015,4,10,18.9
2015,4,11,16.8
2015,4,12,16.8
2015,4,13,16.7
2015,4,14,16.3
2015,4,15,14.6
2015,4,16,15
2015,4,17,13.8
2015,4,18,15
2015,4,19,13.2
2015,4,20,13.6
2015,4,21,13.7
2015,4,22,15.6
2015,4,23,16.9
2015,4,24,16.2
2015,4,25,13.4
2015,4,26,14.6
2015,4,27,15.6
2015,4,28,16
2015,4,29,16
2015,4,30,16.5
2015,5,1,13.8
2015,5,2,13.2
2015,5,3,12.2
2015,5,4,12.7
2015,5,5,12.6
2015,5,6,13.3
2015,5,7,15.8
2015,5,8,12.1
2015,5,9,11.8
2015,5,10,12.7
2015,5,11,13.6
2015,5,12,11.7
2015,5,13,11.8
2015,5,14,12.4
2015,5,15,13.4
2015,5,16,12.1
2015,5,17,11.4
2015,5,18,13.3
2015,5,19,15.7
2015,5,20,13
2015,5,21,11.6
2015,5,22,10.5
2015,5,23,10.4
2015,5,24,7.7
2015,5,25,7.3
2015,5,26,8.9
2015,5,27,11.3
2015,5,28,11.8
2015,5,29,13.4
2015,5,30,10.3
2015,5,31,9.6
2015,6,1,10.4
2015,6,2,12.3
2015,6,3,12.6
2015,6,4,13
2015,6,5,11
2015,6,6,11.5
2015,6,7,12.2
2015,6,8,10.9
2015,6,9,10.1
2015,6,10,9.9
2015,6,11,7.3
2015,6,12,7.1
2015,6,13,6.7
2015,6,14,5.2
2015,6,15,5.8
2015,6,16,6.9
2015,6,17,6.4
2015,6,18,7.9
2015,6,19,11.2
2015,6,20,10.2
2015,6,21,10
2015,6,22,9.7
2015,6,23,8.3
2015,6,24,9
2015,6,25,9.3
2015,6,26,10
2015,6,27,9.8
2015,6,28,8.2
2015,6,29,8
2015,6,30,8.7
2015,7,1,10.6
2015,7,2,11
2015,7,3,7.9
2015,7,4,8.1
2015,7,5,8.3
2015,7,6,7.9
2015,7,7,9.4
2015,7,8,10.4
2015,7,9,12.6
2015,7,10,11.8
2015,7,11,10.7
2015,7,12,10.2
2015,7,13,7.8
2015,7,14,6.4
2015,7,15,6.3
2015,7,16,8.5
2015,7,17,9.8
2015,7,18,7.8
2015,7,19,7.4
2015,7,20,5.5
2015,7,21,6.1
2015,7,22,6.9
2015,7,23,8.2
2015,7,24,10.3
2015,7,25,12.3
2015,7,26,10.3
2015,7,27,9.2
2015,7,28,10
2015,7,29,11.7
2015,7,30,8.9
2015,7,31,8.7
2015,8,1,10.2
2015,8,2,10
2015,8,3,9.5
2015,8,4,14.9
2015,8,5,15
2015,8,6,10.5
2015,8,7,8.9
2015,8,8,11.9
2015,8,9,10.1
2015,8,10,9.6
2015,8,11,9.3
2015,8,12,8.7
2015,8,13,8.2
2015,8,14,9.6
2015,8,15,9.2
2015,8,16,8.8
2015,8,17,10.3
2015,8,18,10.1
2015,8,19,12.3
2015,8,20,14.1
2015,8,21,12.3
2015,8,22,9.4
2015,8,23,12.3
2015,8,24,13.6
2015,8,25,11.9
2015,8,26,13
2015,8,27,13.1
2015,8,28,15.6
2015,8,29,14
2015,8,30,14.8
2015,8,31,15.4
2015,9,1,16.4
2015,9,2,16.4
2015,9,3,15.9
2015,9,4,15.9
2015,9,5,13.3
2015,9,6,13.3
2015,9,7,11.2
2015,9,8,9.4
2015,9,9,10.6
2015,9,10,11.2
2015,9,11,10
2015,9,12,12
2015,9,13,13.9
2015,9,14,15.2
2015,9,15,10.4
2015,9,16,11
2015,9,17,13.1
2015,9,18,11.3
2015,9,19,11.4
2015,9,20,15
2015,9,21,13.2
2015,9,22,14.2
2015,9,23,12.9
2015,9,24,9.5
2015,9,25,8.7
2015,9,26,12.4
2015,9,27,12.7
2015,9,28,16.1
2015,9,29,16.7
2015,9,30,16.3
2015,10,1,13.7
2015,10,2,14.4
2015,10,3,15.1
2015,10,4,12
2015,10,5,12.4
2015,10,6,12
2015,10,7,11.2
2015,10,8,10.2
2015,10,9,11.2
2015,10,10,13.1
2015,10,11,14.4
2015,10,12,15.2
2015,10,13,14.4
2015,10,14,9.4
2015,10,15,10.5
2015,10,16,11
2015,10,17,14.1
2015,10,18,17.3
2015,10,19,12.3
2015,10,20,11.4
2015,10,21,14
2015,10,22,14.9
2015,10,23,14.8
2015,10,24,14.3
2015,10,25,15.3
2015,10,26,16.5
2015,10,27,17.8
2015,10,28,15.6
2015,10,29,16.7
2015,10,30,17.4
2015,10,31,16.2
2015,11,1,15.1
2015,11,2,12.6
2015,11,3,15.8
2015,11,4,17.9
2015,11,5,18
2015,11,6,16.4
2015,11,7,15.8
2015,11,8,15.2
2015,11,9,15.2
2015,11,10,16.6
2015,11,11,16
2015,11,12,16.9
2015,11,13,19.6
2015,11,14,20.2
2015,11,15,18.3
2015,11,16,15.7
2015,11,17,17.4
2015,11,18,13.8
2015,11,19,14.5
2015,11,20,17
2015,11,21,18.2
2015,11,22,17.4
2015,11,23,17.5
2015,11,24,16.3
2015,11,25,16.8
2015,11,26,16.2
2015,11,27,17.2
2015,11,28,19.1
2015,11,29,21.5
2015,11,30,19.8
2015,12,1,18.4
2015,12,2,15.9
2015,12,3,19.9
2015,12,4,20.6
2015,12,5,21.4
2015,12,6,20.8
2015,12,7,21.7
2015,12,8,19.8
2015,12,9,21.2
2015,12,10,21.7
2015,12,11,21
2015,12,12,19.2
2015,12,13,15.1
2015,12,14,19.3
2015,12,15,21.4
2015,12,16,19.5
2015,12,17,18.5
2015,12,18,18.5
2015,12,19,18.5
2015,12,20,17.6
2015,12,21,16.8
2015,12,22,18.2
2015,12,23,21.1
2015,12,24,23.1
2015,12,25,23.2
2015,12,26,23.3
2015,12,27,23.9
2015,12,28,23
2015,12,29,20.2
2015,12,30,21.5
2015,12,31,22
2016,1,1,20.9
2016,1,2,20.2
2016,1,3,19.7
2016,1,4,21.9
2016,1,5,22.9
2016,1,6,22.5
2016,1,7,20.8
2016,1,8,19.8
2016,1,9,21.5
2016,1,10,20.8
2016,1,11,18.4
2016,1,12,18.8
2016,1,13,21
2016,1,14,19.7
2016,1,15,21.9
2016,1,16,23.7
2016,1,17,25
2016,1,18,23.3
2016,1,19,22.2
2016,1,20,23.6
2016,1,21,21
2016,1,22,22.2
2016,1,23,20.2
2016,1,24,18.7
2016,1,25,18.6
2016,1,26,19.2
2016,1,27,20.6
2016,1,28,22.4
2016,1,29,20.1
2016,1,30,22.8
2016,1,31,22.4
2016,2,1,21.2
2016,2,2,19.5
2016,2,3,21.1
2016,2,4,20.8
2016,2,5,20.9
2016,2,6,20.8
2016,2,7,19.6
2016,2,8,20.8
2016,2,9,22.3
2016,2,10,20.6
2016,2,11,20.2
2016,2,12,19.5
2016,2,13,21.1
2016,2,14,22.7
2016,2,15,22.5
2016,2,16,18
2016,2,17,19.7
2016,2,18,20.5
2016,2,19,22.8
2016,2,20,22.8
2016,2,21,21.8
2016,2,22,22.6
2016,2,23,22.9
2016,2,24,23.2
2016,2,25,21.8
2016,2,26,19.6
2016,2,27,21
2016,2,28,21.5
2016,2,29,21.2
2016,3,1,21.6
2016,3,2,21.5
2016,3,3,19.7
2016,3,4,20.9
2016,3,5,19.3
2016,3,6,17.8
2016,3,7,16.4
2016,3,8,18.8
2016,3,9,21.3
2016,3,10,20.1
2016,3,11,19.6
2016,3,12,17.9
2016,3,13,19.8
2016,3,14,21.2
2016,3,15,21
2016,3,16,19.5
2016,3,17,17.1
2016,3,18,18.5
2016,3,19,17.9
2016,3,20,17.8
2016,3,21,18
2016,3,22,19.7
2016,3,23,16.9
2016,3,24,17.2
2016,3,25,19.4
2016,3,26,16.6
2016,3,27,17.3
2016,3,28,16.4
2016,3,29,14.8
2016,3,30,15.9
2016,3,31,18.3
2016,4,1,17.3
2016,4,2,17.2
2016,4,3,14.2
2016,4,4,16.8
2016,4,5,15.2
2016,4,6,15.6
2016,4,7,14.9
2016,4,8,14.4
2016,4,9,13
2016,4,10,13.8
2016,4,11,15.2
2016,4,12,14.4
2016,4,13,12.9
2016,4,14,15.1
2016,4,15,15.2
2016,4,16,16.9
2016,4,17,12.7
2016,4,18,13.5
2016,4,19,13.2
2016,4,20,13.6
2016,4,21,14.8
2016,4,22,13.7
2016,4,23,13.5
2016,4,24,9.9
2016,4,25,8.3
2016,4,26,10.1
2016,4,27,13.3
2016,4,28,14
2016,4,29,15.3
2016,4,30,14.9
2016,5,1,14.5
2016,5,2,16.9
2016,5,3,16.9
2016,5,4,15.6
2016,5,5,14
2016,5,6,12.3
2016,5,7,13.2
2016,5,8,13.9
2016,5,9,13.6
2016,5,10,13.2
2016,5,11,12.9
2016,5,12,11.2
2016,5,13,13.5
2016,5,14,12.7
2016,5,15,12.4
2016,5,16,14.5
2016,5,17,14.2
2016,5,18,11
2016,5,19,12
2016,5,20,13.6
2016,5,21,11.9
2016,5,22,10.1
2016,5,23,13.6
2016,5,24,10.9
2016,5,25,10.7
2016,5,26,9.6
2016,5,27,12.4
2016,5,28,10
2016,5,29,12
2016,5,30,12.1
2016,5,31,11.4
2016,6,1,11
2016,6,2,9.5
2016,6,3,9
2016,6,4,10.1
2016,6,5,7.9
2016,6,6,6.6
2016,6,7,6.6
2016,6,8,8.3
2016,6,9,7.6
2016,6,10,8.8
2016,6,11,8.8
