agno, mes, dia, valor
2016,9,16,11.8
2016,9,17,8.8
2016,9,18,4.5
2016,9,19,7.6
2016,9,20,8.8
2016,9,21,9.8
2016,9,22,8.9
2016,9,23,10.4
2016,9,24,7.7
2016,9,25,8.8
2016,9,26,6.8
2016,9,27,7.4
2016,9,28,8.9
2016,9,29,9.7
2016,9,30,5.5
2016,10,1,7.4
2016,10,2,6.9
2016,10,3,8.5
2016,10,4,10.4
2016,10,5,7.5
2016,10,6,8.9
2016,10,7,9
2016,10,8,9
2016,10,9,6.6
2016,10,10,7.2
2016,10,11,11.7
2016,10,12,12.2
2016,10,13,8.6
2016,10,14,10.5
2016,10,15,12.3
2016,10,16,9.8
2016,10,17,8.9
2016,10,18,5.8
2016,10,19,3.3
2016,10,20,5
2016,10,21,6.4
2016,10,22,7.8
2016,10,23,8.7
2016,10,24,7.7
2016,10,25,7.4
2016,10,26,8.6
2016,10,27,11.6
2016,10,28,11.6
2016,10,29,15.1
2016,10,30,12.3
2016,10,31,11.8
2016,11,1,6.5
2016,11,2,8.9
2016,11,3,7.8
2016,11,4,13.3
2016,11,5,12.5
2016,11,6,12.1
2016,11,7,13.4
2016,11,8,14
2016,11,9,10.9
2016,11,10,11.6
2016,11,11,11.5
2016,11,12,10
2016,11,13,11
2016,11,14,7.9
2016,11,15,9.6
2016,11,16,12.1
2016,11,17,11.3
2016,11,18,11.8
2016,11,19,12.6
2016,11,20,9.7
2016,11,21,9.8
2016,11,22,10.1
2016,11,23,11.6
2016,11,24,13.7
2016,11,25,11.6
2016,11,26,9.6
2016,11,27,10.4
2016,11,28,9.6
2016,11,29,12.8
2016,11,30,12.6
2016,12,1,12.4
2016,12,2,12.8
2016,12,3,12.6
2016,12,4,13.1
2016,12,5,11.3
2016,12,6,10.4
2016,12,7,10.1
2016,12,8,11
2016,12,9,12.6
2016,12,10,10.3
2016,12,11,12.7
2016,12,12,14.4
2016,12,13,13.5
2016,12,14,13.9
2016,12,15,13.4
2016,12,16,13.5
2016,12,17,13.2
2016,12,18,12.3
2016,12,19,13.9
2016,12,20,11.5
2016,12,21,11.5
2016,12,22,13.7
2016,12,23,11.8
2016,12,24,11.1
2016,12,25,11.2
2016,12,26,12.3
2016,12,27,9.2
2016,12,28,12.6
2016,12,29,13.4
2016,12,30,13.6
2016,12,31,12.9
2017,1,1,12.8
2017,1,2,14.1
2017,1,3,13.5
2017,1,4,11.3
2017,1,5,12.1
2017,1,6,12
2017,1,7,13.3
2017,1,8,15
2017,1,9,16.9
2017,1,10,16
2017,1,11,13.4
2017,1,12,14.9
2017,1,13,16.9
2017,1,14,16.4
2017,1,15,11.8
2017,1,16,12.3
2017,1,17,14.5
2017,1,18,15.6
2017,1,19,14.8
2017,1,20,16.2
2017,1,21,16.9
2017,1,22,15.8
2017,1,23,15.3
2017,1,24,15.6
2017,1,25,16
2017,1,26,17.9
2017,1,27,17.4
2017,1,28,17.7
2017,1,29,17.1
2017,1,30,17.5
2017,1,31,15
2017,2,1,14.5
2017,2,2,13.3
2017,2,3,11.5
2017,2,4,14.1
2017,2,5,11.9
2017,2,6,13.4
2017,2,7,12.7
2017,2,8,11.1
2017,2,9,10.6
2017,2,10,14.3
2017,2,11,11.1
2017,2,12,12.5
2017,2,13,14
2017,2,14,13.4
2017,2,15,13.3
2017,2,16,13.8
2017,2,17,12.5
2017,2,18,11
2017,2,19,12.6
2017,2,20,14.3
2017,2,21,15.7
2017,2,22,17.4
2017,2,23,17
2017,2,24,17.4
2017,2,25,18.4
2017,2,26,19.5
2017,2,27,16.8
2017,2,28,16.5
2017,3,1,15.6
2017,3,2,14.8
2017,3,3,13.8
2017,3,4,10.9
2017,3,5,11.1
2017,3,6,11.7
2017,3,7,12.8
2017,3,8,10.3
2017,3,9,12.4
2017,3,10,9.9
2017,3,11,9.1
2017,3,12,9.1
2017,3,13,10.4
2017,3,14,12.8
2017,3,15,10.4
2017,3,16,11.4
2017,3,17,11.6
2017,3,18,12.2
2017,3,19,12.1
2017,3,20,11.9
2017,3,21,11.3
2017,3,22,10.5
2017,3,23,11.1
2017,3,24,12.7
2017,3,25,15.3
2017,3,26,8.5
2017,3,27,9.7
2017,3,28,10.1
2017,3,29,10.9
2017,3,30,9
2017,3,31,8.8
2017,4,1,9.7
2017,4,2,7.5
2017,4,3,8.5
2017,4,4,9.8
2017,4,5,9
2017,4,6,9.4
2017,4,7,11.6
2017,4,8,8.6
2017,4,9,5.2
2017,4,10,6.1
2017,4,11,8
2017,4,12,8.9
2017,4,13,8.9
2017,4,14,8
2017,4,15,9.8
2017,4,16,12.7
2017,4,17,9.7
2017,4,18,12.5
2017,4,19,11.8
2017,4,20,13.8
2017,4,21,14.5
2017,4,22,13.1
2017,4,23,8.6
2017,4,24,6.5
2017,4,25,5.8
2017,4,26,4.5
2017,4,27,3.9
2017,4,28,4.5
2017,4,29,5.1
2017,4,30,5.6
2017,5,1,5.9
2017,5,2,7.1
2017,5,3,4.9
2017,5,4,5.4
2017,5,5,5.8
2017,5,6,8.3
2017,5,7,7.1
2017,5,8,11.2
2017,5,9,8.9
2017,5,10,9.7
2017,5,11,10.6
2017,5,12,9.8
2017,5,13,9.8
2017,5,14,10.4
2017,5,15,4.4
2017,5,16,6.6
2017,5,17,8.1
2017,5,18,6.3
2017,5,19,1.1
2017,5,20,0.7
2017,5,21,3.1
2017,5,22,5.4
2017,5,23,6.4
2017,5,24,5.9
2017,5,25,8.1
2017,5,26,5.8
2017,5,27,4.2
2017,5,28,4.3
2017,5,29,6.6
2017,5,30,4.1
2017,5,31,3.6
2017,6,1,2.6
2017,6,2,4
2017,6,3,3
2017,6,4,1.1
2017,6,5,1.6
2017,6,6,-0.7
2017,6,7,-0.7
2017,6,8,5.3
2017,6,9,1.6
2017,6,10,1.4
2017,6,11,0.8
2017,6,12,1.8
2017,6,13,4.7
2017,6,14,4.1
2017,6,15,1.9
2017,6,16,5.3
2017,6,17,6.7
2017,6,18,0.5
2017,6,19,-1.2
2017,6,20,5.5
2017,6,21,5.3
2017,6,22,8.5
2017,6,23,7.8
2017,6,24,8.1
2017,6,25,7.8
2017,6,26,8.1
2017,6,27,7.1
2017,6,28,3.2
2017,6,29,3.2
2017,6,30,2.6
2017,7,1,3.1
2017,7,2,3.3
2017,7,3,7.7
2017,7,4,4.6
2017,7,5,1
2017,7,6,3.4
2017,7,7,5.7
2017,7,8,5.5
2017,7,9,5.2
2017,7,10,3.7
2017,7,11,2.6
2017,7,12,6.4
2017,7,13,4.7
2017,7,14,4.5
2017,7,15,0.4
2017,7,16,0.6
2017,7,17,-3
2017,7,18,-0.2
2017,7,19,1.7
2017,7,20,2.9
2017,7,21,3.7
2017,7,22,6.7
2017,7,23,6
2017,7,24,5.9
2017,7,25,2.1
